report_description,report_link,report_date,report_mdufa_period,source,page,table_number,organization,program,table_title,metric_type,performance_metric,fy,value
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Workload (Filed to Date),2008,33
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Workload (Filed to Date),2009,39
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Workload (Filed to Date),2010,53
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Workload (Filed to Date),2011,44
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Workload (Filed to Date),2012,29
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Total FDA Decision,2008,33
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Total FDA Decision,2009,39
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Total FDA Decision,2010,53
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Total FDA Decision,2011,44
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,integer,Total FDA Decision,2012,29
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2008,60%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2009,60%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2010,60%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2011,60%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2012,60%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 1 Goal met(yes/no/unknown),2008,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 1 Goal met(yes/no/unknown),2009,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 1 Goal met(yes/no/unknown),2010,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 1 Goal met(yes/no/unknown),2011,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 1 Goal met(yes/no/unknown),2012,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Best Case,2008,64%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Best Case,2009,77%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Best Case,2010,79%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Best Case,2011,77%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Best Case,2012,79%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2008,64%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2009,77%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2010,79%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2011,77%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2012,79%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 goal -- Percent within 295 days,2008,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 goal -- Percent within 295 days,2009,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 goal -- Percent within 295 days,2010,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 goal -- Percent within 295 days,2011,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 goal -- Percent within 295 days,2012,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 2 Goal met(yes/no/unknown),2008,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 2 Goal met(yes/no/unknown),2009,no
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 2 Goal met(yes/no/unknown),2010,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 2 Goal met(yes/no/unknown),2011,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Tier 2 Goal met(yes/no/unknown),2012,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2008,79%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2009,85%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2010,96%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2011,95%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2012,97%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2008,79%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2009,85%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2010,96%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2011,95%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2012,97%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Cohort status,2008,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Cohort status,2009,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Cohort status,2010,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Cohort status,2011,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Non expedited PMA Orginal and Panel-track Supplements),1,1,CDRH,PMA Original and Panel-track Supplements,Non expedited PMA Orginal and Panel-track Supplements,text,Cohort status,2012,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Workload (Filed to Date),2008,4
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Workload (Filed to Date),2009,4
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Workload (Filed to Date),2010,6
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Workload (Filed to Date),2011,7
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Workload (Filed to Date),2012,5
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Total FDA Decision,2008,4
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Total FDA Decision,2009,4
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Total FDA Decision,2010,6
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Total FDA Decision,2011,6
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,integer,Total FDA Decision,2012,5
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2008,50%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2009,50%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2010,50%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2011,50%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Expedited PMA Orginal and Expedited Panel-Track Supplements),2,2,CDRH,PMA Original and Panel-track Supplements,Expedited PMA Orginal and Expedited Panel-Track Supplements,percent,Tier 1 goal -- Percent within 180 Days,2012,50%
