report_description,report_link,report_date,report_mdufa_period,source,page,table_number,organization,program,table_title,metric_type,performance_metric,fy,value
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2010,92%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2011,95%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 1 Goal Pending Performance-Worst Case,2012,96%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 goal -- Percent within 90 days,2008,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 goal -- Percent within 90 days,2009,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 goal -- Percent within 90 days,2010,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 goal -- Percent within 90 days,2011,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 goal -- Percent within 90 days,2012,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Tier 2 Goal met(yes/no/unknown),2008,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Tier 2 Goal met(yes/no/unknown),2009,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Tier 2 Goal met(yes/no/unknown),2010,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Tier 2 Goal met(yes/no/unknown),2011,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Tier 2 Goal met(yes/no/unknown),2012,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2008,97%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2009,97%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2010,100%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2011,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Best Case,2012,99%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2008,97%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2009,97%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2010,100%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2011,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,percent,Tier 2 Goal Pending Performance-Worst Case,2012,99%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Cohort status,2008,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Cohort status,2009,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Cohort status,2010,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Cohort status,2011,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (Real Time PMA Supplements),5,5,CDRH,Real Time PMA Supplements,Real Time PMA Supplements,text,Cohort status,2012,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Workload (Received to Date),2008,3848
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Workload (Received to Date),2009,4103
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Workload (Received to Date),2010,3880
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Workload (Received to Date),2011,3833
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Workload (Received to Date),2012,3991
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,MDUFA Cohort,2008,3259
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,MDUFA Cohort,2009,3401
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,MDUFA Cohort,2010,3144
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,MDUFA Cohort,2011,3197
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,MDUFA Cohort,2012,3323
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Total FDA Decision,2008,3259
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Total FDA Decision,2009,3399
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Total FDA Decision,2010,3144
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Total FDA Decision,2011,3196
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,integer,Total FDA Decision,2012,3300
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 goal -- Percent within 90 Days,2008,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 goal -- Percent within 90 Days,2009,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 goal -- Percent within 90 Days,2010,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 goal -- Percent within 90 Days,2011,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 goal -- Percent within 90 Days,2012,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 1 Goal met(yes/no/unknown),2008,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 1 Goal met(yes/no/unknown),2009,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 1 Goal met(yes/no/unknown),2010,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 1 Goal met(yes/no/unknown),2011,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 1 Goal met(yes/no/unknown),2012,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Best Case,2008,94%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Best Case,2009,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Best Case,2010,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Best Case,2011,95%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Best Case,2012,96%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Worst Case,2008,94%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Worst Case,2009,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Worst Case,2010,90%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Worst Case,2011,95%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 1 Goal Pending Performance-Worst Case,2012,96%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 goal -- Percent within 150 days,2008,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 goal -- Percent within 150 days,2009,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 goal -- Percent within 150 days,2010,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 goal -- Percent within 150 days,2011,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 goal -- Percent within 150 days,2012,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 2 Goal met(yes/no/unknown),2008,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 2 Goal met(yes/no/unknown),2009,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 2 Goal met(yes/no/unknown),2010,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 2 Goal met(yes/no/unknown),2011,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Tier 2 Goal met(yes/no/unknown),2012,yes
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Best Case,2008,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Best Case,2009,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Best Case,2010,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Best Case,2011,99%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Best Case,2012,100%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Worst Case,2008,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Worst Case,2009,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Worst Case,2010,98%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Worst Case,2011,99%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,percent,Tier 2 Goal Pending Performance-Worst Case,2012,99%
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Cohort status,2008,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Cohort status,2009,Open
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Cohort status,2010,Complete
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Cohort status,2011,Open
"January 29, 2014 FDA MDUFA II Performance Report",https://www.fda.gov/media/88098/download,1/29/14,MDUFA II,MDUFA II Quarterly (510(k) Premarket Notifications),6,6,CDRH,510(k) Premarket Notifications,510(k) Premarket Notifications,text,Cohort status,2012,Open